overall,name,pos,pos_rank,tier,team,bye,pts,ppg,vorp,adp,espn_sf_rank,injury
76,Jaylen Waddle,WR,26,4,DEN,10,136.5,8.0,15.6,52.36,84,ACTIVE
77,J.K. Dobbins,RB,29,3,DEN,10,153.4,9.0,15.1,112.5,166,ACTIVE
78,Courtland Sutton,WR,27,4,DEN,10,134.9,7.9,14.0,81.28,106,ACTIVE
79,Trey McBride,TE,2,1,ARI,14,133.9,7.9,13.0,22.56,28,ACTIVE
80,Christian Watson,WR,28,4,GB,11,132.8,7.8,11.9,89.87,117,ACTIVE
81,Kyle Monangai,RB,30,3,CHI,10,149.3,8.8,11.0,124.11,168,QUESTIONABLE
82,Luther Burden III,WR,29,4,CHI,10,131.1,7.7,10.2,75.64,88,QUESTIONABLE
83,DK Metcalf,WR,30,4,PIT,9,131.0,7.7,10.1,85.39,109,QUESTIONABLE
84,Jaylen Warren,RB,31,3,PIT,9,147.9,8.7,9.6,88.46,113,ACTIVE
85,Jonathon Brooks,RB,32,3,CAR,5,147.8,8.7,9.5,105.64,115,QUESTIONABLE
86,Carnell Tate,WR,31,4,TEN,9,127.7,7.5,6.8,77.11,99,QUESTIONABLE
87,C.J. Stroud,QB,22,3,HOU,8,246.1,14.5,6.3,165.35,138,ACTIVE
88,Colston Loveland,TE,4,1,CHI,10,126.0,7.4,5.1,42.66,80,ACTIVE
89,Tyler Warren,TE,3,1,IND,13,126.1,7.4,5.2,52.09,81,QUESTIONABLE
90,Jacory Croskey-Merritt,RB,33,3,WSH,7,143.0,8.4,4.7,135.82,169,QUESTIONABLE
91,Alec Pierce,WR,32,4,IND,13,125.5,7.4,4.6,108.54,112,QUESTIONABLE
92,Blake Corum,RB,34,3,LAR,11,142.6,8.4,4.3,126.72,178,ACTIVE
93,Marvin Harrison Jr.,WR,33,4,ARI,14,124.9,7.3,4.0,79.48,108,ACTIVE
94,Sam Darnold,QB,23,3,SEA,11,242.5,14.3,2.7,162.4,140,ACTIVE
95,Parker Washington,WR,35,4,JAX,7,123.5,7.3,2.6,90.2,111,ACTIVE
96,Mike Evans,WR,34,4,SF,8,123.5,7.3,2.6,85.32,118,QUESTIONABLE
97,Josh Jacobs,RB,35,3,GB,11,140.7,12.8,2.4,63.94,92,DAY_TO_DAY
98,Matthew Golden,WR,36,4,GB,11,120.9,7.1,0.0,111.53,119,ACTIVE
99,Jordan Mason,RB,36,3,MIN,6,138.3,8.1,0.0,139.17,177,ACTIVE
100,Malik Willis,QB,24,3,MIA,6,239.8,14.1,0.0,167.55,132,ACTIVE
101,Brian Thomas Jr.,WR,37,4,JAX,7,119.6,7.0,-1.3,113.64,120,QUESTIONABLE
102,Bryce Young,QB,25,3,CAR,5,238.1,14.0,-1.7,168.9,155,ACTIVE
103,Xavier Worthy,WR,38,4,KC,5,117.4,6.9,-3.5,129.83,162,ACTIVE
104,Chuba Hubbard,RB,37,3,CAR,5,134.7,7.9,-3.6,108.87,165,QUESTIONABLE
105,George Kittle,TE,5,1,SF,8,116.9,6.9,-4.0,75.87,129,QUESTIONABLE
106,Geno Smith,QB,26,3,NYJ,13,233.2,13.7,-6.6,170.06,200,ACTIVE
107,Aaron Jones Sr.,RB,38,3,MIN,6,130.7,7.7,-7.6,115.21,170,ACTIVE
108,Quentin Johnston,WR,39,4,LAC,7,112.6,6.6,-8.3,130.42,163,ACTIVE
109,Jakobi Meyers,WR,40,4,JAX,7,112.1,6.6,-8.8,122.35,127,QUESTIONABLE
110,Mark Andrews,TE,6,1,BAL,13,111.1,6.5,-9.8,126.2,152,ACTIVE
111,Jordan Addison,WR,41,4,MIN,6,110.2,6.5,-10.7,120.05,142,ACTIVE
112,Sam LaPorta,TE,7,1,DET,6,110.4,6.5,-10.5,73.53,97,QUESTIONABLE
113,Jayden Reed,WR,42,4,GB,11,109.1,6.4,-11.8,138.44,147,ACTIVE
114,Kenny Gainwell,RB,39,3,TB,10,125.8,7.4,-12.5,102.31,124,ACTIVE
115,Michael Pittman Jr.,WR,43,4,PIT,9,108.7,6.4,-12.2,89.85,107,QUESTIONABLE
116,De'Zhaun Stribling,WR,44,4,SF,8,108.0,6.4,-12.9,140.39,143,QUESTIONABLE
117,Dallas Goedert,TE,8,1,PHI,10,106.3,6.3,-14.6,103.83,148,ACTIVE
118,Michael Wilson,WR,45,4,ARI,14,105.8,6.2,-15.1,102.41,126,ACTIVE
119,Rachaad White,RB,40,3,WSH,7,124.0,7.3,-14.3,125.94,176,QUESTIONABLE
120,Harold Fannin Jr.,TE,9,1,CLE,11,105.0,6.2,-15.9,71.1,96,ACTIVE
121,Kyle Pitts Sr.,TE,10,1,ATL,11,104.7,6.2,-16.2,68.32,93,ACTIVE
122,Travis Kelce,TE,12,1,KC,5,103.4,6.1,-17.5,95.19,149,ACTIVE
123,Tucker Kraft,TE,11,1,GB,11,104.2,6.1,-16.7,91.43,130,QUESTIONABLE
124,Makai Lemon,WR,46,4,PHI,10,103.0,6.1,-17.9,132.49,184,ACTIVE
125,Deebo Samuel Sr.,WR,47,4,SF,8,101.9,6.0,-19.0,142.05,187,ACTIVE
126,Rashid Shaheed,WR,48,4,SEA,11,101.6,6.0,-19.3,160.46,191,ACTIVE
127,Cam Ward,QB,27,3,TEN,9,219.6,12.9,-20.2,169.21,157,ACTIVE
128,Khalil Shakir,WR,49,4,BUF,7,101.2,6.0,-19.7,139.61,144,QUESTIONABLE
129,Aaron Rodgers,QB,28,3,PIT,9,218.8,12.9,-21.0,169.2,228,ACTIVE
130,Stefon Diggs,WR,50,4,WSH,7,98.3,5.8,-22.6,104.1,164,ACTIVE
131,Romeo Doubs,WR,51,4,NE,11,98.2,5.8,-22.7,147.81,189,ACTIVE
132,KC Concepcion,WR,52,4,CLE,11,97.4,5.7,-23.5,146.61,183,ACTIVE
133,Chris Godwin Jr.,WR,53,4,TB,10,97.0,5.7,-23.9,123.54,185,ACTIVE
134,MarShawn Lloyd,RB,41,3,GB,11,114.1,6.7,-24.2,128.81,125,ACTIVE
135,Dalton Kincaid,TE,13,1,BUF,7,96.3,5.7,-24.6,130.88,171,ACTIVE
136,Wan'Dale Robinson,WR,54,4,TEN,9,96.0,5.6,-24.9,114.0,131,QUESTIONABLE
137,Hunter Henry,TE,14,1,NE,11,94.6,5.6,-26.3,152.1,173,ACTIVE
138,Jake Ferguson,TE,15,1,DAL,14,93.7,5.5,-27.2,110.01,150,ACTIVE
139,Isaiah Likely,TE,16,1,NYG,8,92.1,5.4,-28.8,122.99,154,ACTIVE
140,Calvin Ridley,WR,55,4,TEN,9,91.9,5.4,-29.0,168.25,208,ACTIVE
141,Woody Marks,RB,43,3,HOU,8,107.6,6.3,-30.7,151.7,196,ACTIVE
142,Tre Tucker,WR,56,4,LV,13,89.6,5.3,-31.3,169.22,214,ACTIVE
143,Terrance Ferguson,TE,17,1,LAR,11,89.7,5.3,-31.2,168.61,175,QUESTIONABLE
144,Jerry Jeudy,WR,57,4,CLE,11,87.9,5.2,-33.0,168.56,207,ACTIVE
145,Kayshon Boutte,WR,58,4,HOU,8,87.9,5.2,-33.0,170.56,347,ACTIVE
146,Tyjae Spears,RB,44,3,TEN,9,104.8,6.2,-33.5,146.96,198,ACTIVE
147,Denzel Boston,WR,60,4,CLE,11,86.9,5.1,-34.0,168.98,206,ACTIVE
148,Jalen Coker,WR,61,4,CAR,5,85.9,5.1,-35.0,155.1,190,ACTIVE
149,Adonai Mitchell,WR,62,4,NYJ,13,85.9,5.1,-35.0,171.14,210,ACTIVE
150,Josh Downs,WR,59,4,IND,13,87.6,5.2,-33.3,136.93,182,QUESTIONABLE
151,Rashod Bateman,WR,64,4,BAL,13,84.7,5.0,-36.2,171.41,284,ACTIVE
152,Kenyon Sadiq,TE,18,1,NYJ,13,85.9,5.1,-35.0,162.63,222,QUESTIONABLE
153,Jalen McMillan,WR,63,4,TB,10,85.6,5.0,-35.3,164.49,192,QUESTIONABLE
154,Brenton Strange,TE,19,1,JAX,7,83.5,4.9,-37.4,167.55,330,ACTIVE
155,RJ Harvey,RB,45,3,DEN,10,100.7,5.9,-37.6,126.62,181,ACTIVE
156,Juwan Johnson,TE,20,1,NO,8,82.3,4.8,-38.6,158.45,329,ACTIVE
157,T.J. Hockenson,TE,21,1,MIN,6,80.8,4.8,-40.1,150.05,172,ACTIVE
158,Jalen Nailor,WR,66,4,LV,13,80.0,4.7,-40.9,171.11,217,ACTIVE
159,Broncos D/ST,DST,1,1,DEN,10,130.8,7.7,30.3,99.32,236,ACTIVE
160,Texans D/ST,DST,2,1,HOU,8,129.2,7.6,28.7,92.11,234,ACTIVE
161,Brandon Aubrey,K,1,1,DAL,14,171.5,10.1,25.6,85.86,251,ACTIVE
162,Rams D/ST,DST,3,1,LAR,11,124.4,7.3,23.9,104.18,240,ACTIVE
163,Steelers D/ST,DST,4,1,PIT,9,123.1,7.2,22.6,121.81,238,ACTIVE
164,Seahawks D/ST,DST,5,1,SEA,11,122.2,7.2,21.7,112.58,239,ACTIVE
165,Ravens D/ST,DST,6,1,BAL,13,120.0,7.1,19.5,134.01,241,ACTIVE
166,Cameron Dicker,K,2,2,LAC,7,161.9,9.5,16.0,112.77,252,QUESTIONABLE
167,Harrison Mevis,K,3,2,LAR,11,159.4,9.4,13.5,136.73,254,ACTIVE
168,Jason Myers,K,4,2,SEA,11,158.5,9.3,12.6,116.25,253,ACTIVE
169,Ka'imi Fairbairn,K,5,2,HOU,8,157.8,9.3,11.9,125.55,257,ACTIVE
170,Eddy Pineiro,K,6,2,SF,8,155.2,9.1,9.3,142.04,259,ACTIVE
171,Lions D/ST,DST,7,2,DET,6,108.0,6.4,7.5,154.83,248,ACTIVE
172,Eagles D/ST,DST,8,2,PHI,10,107.1,6.3,6.6,137.92,243,ACTIVE
173,Browns D/ST,DST,9,2,CLE,11,103.9,6.1,3.4,157.98,246,ACTIVE
174,Harrison Butker,K,7,3,KC,5,148.8,8.8,2.9,144.14,260,ACTIVE
175,Cam Little,K,8,3,JAX,7,146.9,8.6,1.0,141.02,261,ACTIVE
176,Jake Bates,K,9,3,DET,6,146.1,8.6,0.2,157.18,263,ACTIVE
177,Tyler Loop,K,10,3,BAL,13,145.9,8.6,0.0,165.45,266,ACTIVE
178,Patriots D/ST,DST,10,2,NE,11,100.5,5.9,0.0,153.42,247,ACTIVE
179,Jacoby Brissett,QB,29,4,ARI,14,198.5,11.7,-41.3,169.94,159,ACTIVE
180,Jaylin Noel,WR,65,4,HOU,8,81.1,4.8,-39.8,171.81,301,QUESTIONABLE
181,Pat Freiermuth,TE,22,1,PIT,9,76.3,4.5,-44.6,169.6,341,ACTIVE
182,Zach Charbonnet,RB,42,3,SEA,11,113.7,10.3,-24.6,152.98,197,OUT
183,Ja'Kobi Lane,WR,67,4,BAL,13,75.3,4.4,-45.6,168.74,312,ACTIVE
184,Devaughn Vele,WR,68,4,NO,8,74.0,4.4,-46.9,171.64,298,ACTIVE
185,Dalton Schultz,TE,23,1,HOU,8,73.3,4.3,-47.6,168.75,370,ACTIVE
186,Darren Waller,TE,24,1,CAR,5,71.6,4.2,-49.3,170.37,392,ACTIVE
187,Caleb Douglas,WR,69,4,MIA,6,70.0,4.1,-50.9,170.74,212,ACTIVE
188,Chig Okonkwo,TE,25,1,WSH,7,69.8,4.1,-51.1,170.19,373,ACTIVE
189,Malik Washington,WR,70,4,MIA,6,69.6,4.1,-51.3,170.12,348,ACTIVE
190,Keenan Allen,WR,71,4,IND,13,69.4,4.1,-51.5,165.52,271,ACTIVE
191,Gunnar Helm,TE,26,1,TEN,9,69.2,4.1,-51.7,170.78,371,ACTIVE
192,AJ Barner,TE,27,1,SEA,11,69.1,4.1,-51.8,169.75,376,ACTIVE
193,Dontayvion Wicks,WR,72,4,PHI,10,69.0,4.1,-51.9,170.97,295,ACTIVE
194,Fernando Mendoza,QB,30,4,LV,13,187.5,11.0,-52.3,168.42,226,ACTIVE
195,Germie Bernard,WR,73,4,PIT,9,68.3,4.0,-52.6,171.3,332,ACTIVE
196,Jauan Jennings,WR,74,4,MIN,6,68.2,4.0,-52.7,171.11,313,ACTIVE
197,Brian Robinson Jr.,RB,47,3,ATL,11,85.2,5.0,-53.1,167.61,203,ACTIVE
198,Greg Dulcich,TE,28,1,MIA,6,67.4,4.0,-53.5,170.47,391,ACTIVE
199,Travis Hunter,WR,75,4,JAX,7,64.5,3.8,-56.4,118.98,116,ACTIVE
200,David Njoku,TE,29,1,LAC,7,64.5,3.8,-56.4,169.7,426,ACTIVE
201,Samaje Perine,RB,49,3,CIN,6,81.5,4.8,-56.8,171.17,320,ACTIVE
202,Cooper Kupp,WR,77,4,SEA,11,63.7,3.7,-57.2,169.29,349,ACTIVE
203,Justice Hill,RB,50,3,BAL,13,80.7,4.7,-57.6,168.71,293,ACTIVE
204,Alvin Kamara,RB,48,3,NO,8,82.7,5.5,-55.6,160.87,291,QUESTIONABLE
205,Mike Gesicki,TE,30,1,CIN,6,60.2,3.5,-60.7,170.23,429,ACTIVE
206,Evan Engram,TE,31,1,DEN,10,59.2,3.5,-61.7,170.03,425,ACTIVE
207,Cade Otton,TE,32,1,TB,10,57.6,3.4,-63.3,170.33,393,ACTIVE
208,Jahan Dotson,WR,79,4,ATL,11,57.6,3.4,-63.3,170.67,351,ACTIVE
209,Tyler Allgeier,RB,51,3,ARI,14,74.3,4.4,-64.0,162.75,205,ACTIVE
210,Xavier Hutchinson,WR,80,4,HOU,8,56.8,3.3,-64.1,170.17,354,ACTIVE
211,Ryan Flournoy,WR,81,4,DAL,14,55.5,3.3,-65.4,171.09,336,ACTIVE
212,Xavier Legette,WR,78,4,CAR,5,58.3,3.4,-62.6,170.72,350,QUESTIONABLE
213,Omar Cooper Jr.,WR,83,4,NYJ,13,54.7,3.2,-66.2,171.17,338,ACTIVE
214,Chris Bell,WR,84,4,MIA,6,54.3,3.2,-66.6,170.51,356,ACTIVE
215,Jalen Tolbert,WR,85,4,MIA,6,54.2,3.2,-66.7,170.55,355,ACTIVE
216,Malachi Fields,WR,86,4,NYG,8,53.6,3.2,-67.3,170.27,331,ACTIVE
217,Tyquan Thornton,WR,87,4,KC,5,53.5,3.1,-67.4,170.37,382,ACTIVE
218,Keaton Mitchell,RB,52,3,LAC,7,73.8,4.3,-64.5,169.44,219,QUESTIONABLE
219,Tre' Harris,WR,82,4,LAC,7,55.4,3.3,-65.5,171.15,335,QUESTIONABLE
220,Antonio Williams,WR,88,4,WSH,7,51.8,3.0,-69.1,170.47,381,ACTIVE
221,Darius Slayton,WR,89,4,NYG,8,51.7,3.0,-69.2,170.57,358,ACTIVE
222,DeMario Douglas,WR,90,4,NE,11,51.3,3.0,-69.6,170.46,357,ACTIVE
223,Zachariah Branch,WR,91,4,ATL,11,51.1,3.0,-69.8,170.87,337,ACTIVE
224,Chris Rodriguez Jr.,RB,53,3,JAX,7,67.4,4.0,-70.9,164.6,199,ACTIVE
225,Isaac TeSlaa,WR,93,4,DET,6,49.1,2.9,-71.8,170.28,396,ACTIVE
226,Najee Harris,RB,54,3,NYG,8,66.4,3.9,-71.9,170.21,289,ACTIVE
227,KaVontae Turpin,WR,94,4,DAL,14,48.4,2.8,-72.5,169.78,405,ACTIVE
228,Keon Coleman,WR,92,4,BUF,7,51.1,3.0,-69.8,170.27,394,QUESTIONABLE
229,Colby Parkinson,TE,33,1,LAR,11,47.3,2.8,-73.6,170.22,453,ACTIVE
230,Oronde Gadsden,TE,34,1,LAC,7,47.0,2.8,-73.9,170.2,428,ACTIVE
231,Braelon Allen,RB,55,3,NYJ,13,64.0,3.8,-74.3,170.93,277,ACTIVE
232,Pat Bryant,WR,96,4,DEN,10,44.4,2.6,-76.5,170.38,397,ACTIVE
233,Michael Mayer,TE,35,1,LV,13,44.0,2.6,-76.9,170.23,430,ACTIVE
234,Andrei Iosivas,WR,98,4,CIN,6,43.7,2.6,-77.2,170.13,403,ACTIVE
235,Dawson Knox,TE,36,1,BUF,7,43.3,2.5,-77.6,169.8,459,ACTIVE
236,Tank Bigsby,RB,57,3,PHI,10,60.4,3.6,-77.9,169.65,280,ACTIVE
237,Darnell Mooney,WR,99,4,NYG,8,42.2,2.5,-78.7,170.4,431,ACTIVE
238,Ted Hurst III,WR,100,4,TB,10,42.1,2.5,-78.8,170.18,419,ACTIVE
239,Marvin Mims Jr.,WR,95,4,DEN,10,45.9,2.7,-75.0,170.16,398,QUESTIONABLE
240,Ty Johnson,RB,56,3,BUF,7,63.3,3.7,-75.0,170.74,321,QUESTIONABLE
241,Darnell Washington,TE,37,1,PIT,9,41.5,2.4,-79.4,169.81,455,ACTIVE
242,Dylan Sampson,RB,58,3,CLE,11,58.3,3.4,-80.0,169.2,286,ACTIVE
243,Mike Washington Jr.,RB,59,3,LV,13,58.2,3.4,-80.1,164.35,274,ACTIVE
244,Erick All Jr.,TE,38,1,CIN,6,40.3,2.4,-80.6,170.04,454,ACTIVE
245,Kevin Coleman Jr.,WR,101,4,MIA,6,39.9,2.3,-81.0,170.04,404,ACTIVE
246,Tory Horton,WR,97,4,SEA,11,43.9,2.6,-77.0,170.2,407,QUESTIONABLE
247,Jonah Coleman,RB,60,3,DEN,10,57.0,3.4,-81.3,167.55,221,ACTIVE
248,Jack Bech,WR,102,4,LV,13,38.2,2.2,-82.7,170.2,406,ACTIVE
249,Mason Taylor,TE,39,1,NYJ,13,36.9,2.2,-84.0,170.01,464,ACTIVE
250,Elijah Arroyo,TE,40,1,SEA,11,36.5,2.1,-84.4,169.93,460,ACTIVE
251,Mack Hollins,WR,103,4,NE,11,35.2,2.1,-85.7,170.09,432,ACTIVE
252,Kyle Williams,WR,104,4,NE,11,34.9,2.1,-86.0,169.98,979,ACTIVE
253,Kaelon Black,RB,61,3,SF,8,52.2,3.1,-86.1,170.37,315,ACTIVE
254,Noah Gray,TE,42,1,KC,5,34.6,2.0,-86.3,169.93,468,ACTIVE
255,Chris Brooks,RB,62,3,GB,11,51.7,3.0,-86.6,170.28,324,ACTIVE
256,Malik Benson,WR,105,4,LV,13,33.9,2.0,-87.0,169.99,983,ACTIVE
257,Troy Franklin,WR,106,4,DEN,10,33.7,2.0,-87.2,170.05,980,ACTIVE
258,Cyrus Allen,WR,107,4,KC,5,33.4,2.0,-87.5,169.78,978,ACTIVE
259,Cole Kmet,TE,43,1,CHI,10,32.0,1.9,-88.9,169.75,466,ACTIVE
260,Malik Davis,RB,63,3,DAL,14,49.3,2.9,-89.0,170.22,322,ACTIVE
261,Theo Johnson,TE,41,1,NYG,8,36.3,2.1,-84.6,170.12,465,QUESTIONABLE
262,Joshua Palmer,WR,108,4,BUF,7,31.4,1.8,-89.5,169.95,981,ACTIVE
263,Dyami Brown,WR,109,4,WSH,7,31.1,1.8,-89.8,169.99,990,ACTIVE
264,Treylon Burks,WR,110,4,WSH,7,29.9,1.8,-91.0,169.99,996,ACTIVE
265,Devontez Walker,WR,111,4,BAL,13,29.4,1.7,-91.5,169.97,1000,ACTIVE
266,Chimere Dike,WR,112,4,TEN,9,29.0,1.7,-91.9,169.85,1017,ACTIVE
267,Kalif Raymond,WR,113,4,CHI,10,28.8,1.7,-92.1,169.98,984,ACTIVE
268,Emmett Johnson,RB,64,3,KC,5,45.5,2.7,-92.8,169.92,325,ACTIVE
269,Kendrick Bourne,WR,115,4,ARI,14,27.5,1.6,-93.4,170.0,982,ACTIVE
270,Eli Raridon,TE,44,1,NE,11,27.1,1.6,-93.8,169.98,472,ACTIVE
271,Drew Sample,TE,45,1,CIN,6,26.9,1.6,-94.0,169.98,1021,ACTIVE
272,Bryce Lance,WR,116,4,NO,8,26.5,1.6,-94.4,169.99,1019,ACTIVE
273,Brashard Smith,RB,65,3,KC,5,43.3,2.5,-95.0,170.19,323,ACTIVE
274,Tommy Tremble,TE,46,1,CAR,5,25.2,1.5,-95.7,169.96,473,ACTIVE
275,Jonnu Smith,TE,47,1,GB,11,24.0,1.4,-96.9,169.96,1020,ACTIVE
276,Zavion Thomas,WR,117,4,CHI,10,23.8,1.4,-97.1,169.87,1030,ACTIVE
277,Shedeur Sanders,QB,31,5,CLE,11,142.6,8.4,-97.2,169.86,304,ACTIVE
278,Austin Hooper,TE,48,1,ATL,11,22.9,1.3,-98.0,169.98,1003,ACTIVE
279,Tyler Higbee,TE,49,1,LAR,11,22.8,1.3,-98.1,169.88,470,ACTIVE
280,Ja'Tavion Sanders,TE,50,1,CAR,5,22.8,1.3,-98.1,169.95,467,ACTIVE
281,Adam Trautman,TE,51,1,DEN,10,22.8,1.3,-98.1,169.97,1023,ACTIVE
282,Skyler Bell,WR,119,4,BUF,7,22.1,1.3,-98.8,169.92,1046,ACTIVE
283,Elijah Higgins,TE,52,1,ARI,14,22.0,1.3,-98.9,169.94,1008,ACTIVE
284,Josh Oliver,TE,53,1,MIN,6,21.8,1.3,-99.1,169.95,1022,ACTIVE
285,Hollywood Brown,WR,120,4,PHI,10,21.7,1.3,-99.2,169.97,1047,ACTIVE
286,Ashton Dulin,WR,121,4,IND,13,21.5,1.3,-99.4,169.97,1054,ACTIVE
287,Charlie Kolar,TE,55,1,LAC,7,21.5,1.3,-99.4,169.99,1032,ACTIVE
288,Tutu Atwell,WR,122,4,LAR,11,21.2,1.2,-99.7,170.05,1059,ACTIVE
289,Noah Fant,TE,56,1,NO,8,21.1,1.2,-99.8,169.98,1034,ACTIVE
290,Jaylen Wright,RB,66,3,MIA,6,38.3,2.3,-100.0,170.61,318,ACTIVE
291,Isaiah Williams,WR,123,4,NYJ,13,19.4,1.1,-101.5,169.99,1057,ACTIVE
292,Cade Stover,TE,58,1,HOU,8,19.2,1.1,-101.7,169.98,1044,ACTIVE
293,Jaylin Lane,WR,124,4,WSH,7,19.2,1.1,-101.7,169.99,1024,ACTIVE
294,Colbie Young,WR,125,4,CIN,6,19.0,1.1,-101.9,169.98,1064,ACTIVE
295,Isaiah Bond,WR,118,4,CLE,11,23.4,1.4,-97.5,169.99,1041,QUESTIONABLE
296,Olamide Zaccheaus,WR,127,4,ATL,11,18.0,1.1,-102.9,169.99,1050,ACTIVE
297,Sean Tucker,RB,68,3,TB,10,35.0,2.1,-103.3,170.34,362,ACTIVE
298,Roman Wilson,WR,128,4,PIT,9,17.1,1.0,-103.8,169.97,1073,ACTIVE
299,Mo Alie-Cox,TE,60,1,IND,13,16.9,1.0,-104.0,169.97,1078,ACTIVE
300,Elijah Sarratt,WR,129,4,BAL,13,16.8,1.0,-104.1,169.99,1095,ACTIVE
301,Will Kacmarek,TE,54,1,MIA,6,21.8,1.3,-99.1,169.99,1016,QUESTIONABLE
302,Jackson Hawes,TE,61,1,BUF,7,16.4,1.0,-104.5,169.97,1082,ACTIVE
303,Luke Schoonmaker,TE,62,1,DAL,14,16.3,1.0,-104.6,169.93,1076,ACTIVE
304,George Holani,RB,69,3,SEA,11,33.5,2.0,-104.8,170.31,360,ACTIVE
305,Isaiah Davis,RB,67,3,NYJ,13,38.1,2.2,-100.2,170.55,326,QUESTIONABLE
306,John Bates,TE,57,1,WSH,7,20.4,1.2,-100.5,169.98,1045,QUESTIONABLE
307,Elic Ayomanor,WR,130,4,TEN,9,15.1,0.9,-105.8,170.0,1103,ACTIVE
308,Tez Johnson,WR,131,4,TB,10,14.9,0.9,-106.0,169.98,1119,ACTIVE
309,Odell Beckham Jr.,WR,132,4,NYG,8,14.8,0.9,-106.1,169.4,1102,ACTIVE
310,Jimmy Horn Jr.,WR,133,4,CAR,5,14.6,0.9,-106.3,169.97,1120,ACTIVE
311,Jordan Whittington,WR,134,4,LAR,11,14.3,0.8,-106.6,169.97,1115,ACTIVE
312,Daniel Bellinger,TE,64,1,TEN,9,14.1,0.8,-106.8,169.99,1085,ACTIVE
313,Durham Smythe,TE,65,1,BAL,13,13.7,0.8,-107.2,169.98,1106,ACTIVE
314,Barion Brown,WR,135,4,NO,8,13.6,0.8,-107.3,169.98,1153,ACTIVE
315,Ray Davis,RB,70,3,BUF,7,30.4,1.8,-107.9,171.02,281,ACTIVE
316,Jeremy Ruckert,TE,66,1,NYJ,13,12.9,0.8,-108.0,169.99,1094,ACTIVE
317,Eli Stowers,TE,59,1,PHI,10,18.2,1.1,-102.7,169.97,469,QUESTIONABLE
318,Konata Mumpfield,WR,136,4,LAR,11,12.8,0.8,-108.1,169.98,1134,ACTIVE
319,Brenen Thompson,WR,126,4,LAC,7,18.0,1.1,-102.9,169.98,1079,QUESTIONABLE
320,Demarcus Robinson,WR,137,4,SF,8,12.4,0.7,-108.5,169.98,1137,ACTIVE
321,Jake Tonges,TE,67,1,SF,8,12.0,0.7,-108.9,170.16,450,ACTIVE
322,Luke McCaffrey,WR,138,4,WSH,7,11.7,0.7,-109.2,169.91,1141,ACTIVE
323,KeAndre Lambert-Smith,WR,139,4,LAC,7,11.7,0.7,-109.2,169.97,1145,ACTIVE
324,Jalen Royals,WR,140,4,KC,5,11.5,0.7,-109.4,169.98,1142,ACTIVE
325,Kimani Vidal,RB,73,3,LAC,7,28.5,1.7,-109.8,170.98,316,ACTIVE
326,Bo Melton,WR,141,4,GB,11,11.0,0.6,-109.9,169.98,1168,ACTIVE
327,Brock Wright,TE,68,1,DET,6,10.9,0.6,-110.0,169.92,1139,ACTIVE
328,Nate Boerkircher,TE,69,1,JAX,7,10.7,0.6,-110.2,169.99,1140,ACTIVE
329,Seth McGowan,RB,74,3,IND,13,27.8,1.6,-110.5,170.25,363,ACTIVE
330,Malachi Corley,WR,142,4,CLE,11,10.2,0.6,-110.7,169.99,1182,ACTIVE
331,Ben Sinnott,TE,63,1,WSH,7,15.5,0.9,-105.4,169.99,1087,QUESTIONABLE
332,Xavier Smith,WR,143,4,LAR,11,8.0,0.5,-112.9,169.98,1194,ACTIVE
333,Jordan James,RB,75,3,SF,8,25.1,1.5,-113.2,170.83,364,ACTIVE
334,Ollie Gordon II,RB,71,3,MIA,6,29.9,1.8,-108.4,170.67,319,QUESTIONABLE
335,Efton Chism III,WR,144,4,NE,11,6.6,0.4,-114.3,169.97,1212,ACTIVE
336,Dohnte Meyers,WR,145,4,CIN,6,6.5,0.4,-114.4,169.97,1210,ACTIVE
