overall,name,pos,pos_rank,tier,team,bye,pts,ppg,vorp,adp,espn_sf_rank,injury
399,Reggie Gilliam,RB,97,3,NE,11,3.9,0.2,-134.4,169.98,1272,ACTIVE
400,Riley Nowakowski,RB,98,3,PIT,9,3.8,0.2,-134.5,169.99,456,ACTIVE
401,Patrick Ricard,RB,99,3,NYG,8,3.5,0.2,-134.8,169.98,1276,ACTIVE
402,Kene Nwangwu,RB,101,3,NYJ,13,2.3,0.1,-136.0,170.1,415,ACTIVE
403,Emanuel Wilson,RB,89,3,SEA,11,8.6,1.4,-129.7,170.19,412,QUESTIONABLE
404,Sione Vaki,RB,103,3,DET,6,0.8,0.0,-137.5,170.01,418,ACTIVE
405,Bam Knight,RB,102,3,ARI,14,0.8,0.0,-137.5,170.09,417,ACTIVE
406,Dylan Laube,RB,104,3,LV,13,0.7,0.0,-137.6,170.07,438,ACTIVE
407,Tyler Badie,RB,105,3,DEN,10,0.4,0.0,-137.9,170.05,440,ACTIVE
408,Josh Williams,RB,115,3,FA,0,0.0,0.0,-138.3,169.97,2513,ACTIVE
409,Devin Singletary,RB,110,3,NYG,8,0.0,0.0,-138.3,169.98,1340,ACTIVE
410,DeeJay Dallas,RB,118,3,FA,0,0.0,0.0,-138.3,170.0,1822,ACTIVE
411,Phil Mafah,RB,114,3,FA,0,0.0,0.0,-138.3,170.01,2473,ACTIVE
412,Jawhar Jordan,RB,113,3,FA,0,0.0,0.0,-138.3,170.1,2321,ACTIVE
413,Jaydon Blue,RB,107,3,FA,0,0.0,0.0,-138.3,170.37,2458,ACTIVE
414,Isiah Pacheco,RB,46,3,DET,6,88.2,5.2,-50.1,158.98,220,INJURY_RESERVE
415,British Brooks,RB,100,3,HOU,8,2.4,0.1,-135.9,169.99,1323,QUESTIONABLE
416,Jerome Ford,RB,117,3,FA,0,0.0,0.0,-138.3,169.98,2022,QUESTIONABLE
417,Deshaun Watson,QB,34,7,CLE,11,78.2,4.6,-161.6,170.09,230,ACTIVE
418,Jordyn Tyson,WR,76,4,NO,8,64.2,6.4,-56.7,168.01,213,INJURY_RESERVE
419,Kirk Cousins,QB,35,8,LV,13,45.8,2.7,-194.0,169.98,305,ACTIVE
420,Carson Beck,QB,36,9,ARI,14,29.3,7.3,-210.5,170.01,333,ACTIVE
421,Luke Musgrave,TE,80,1,GB,11,0.0,0.0,-120.9,169.98,1375,OUT
422,Tyrell Shavers,WR,177,4,BUF,7,0.0,0.0,-120.9,169.99,1407,OUT
